,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,5,25,10,default,,100000.0,50,0.1
1,FH,5,50,10,default,,100000.0,50,0.1
2,FH,10,25,10,default,,100000.0,50,0.6
3,FH,10,50,10,default,,100000.0,50,0.6
4,FH,10,250,10,default,,100000.0,50,0.0
5,MMD,5,25,10,default,,100000.0,50,0.2
6,MMD,5,50,10,default,,100000.0,50,0.0
7,MMD,10,25,10,default,,100000.0,50,0.3
8,MMD,10,50,10,default,,100000.0,50,0.3
9,MMD,10,250,10,default,,100000.0,50,0.0
10,KNN,5,25,10,default,,100000.0,50,0.0
11,KNN,5,50,10,default,,100000.0,50,0.0
12,KNN,10,25,10,default,,100000.0,50,0.1
13,KNN,10,50,10,default,,100000.0,50,0.2
14,KNN,10,250,10,default,,100000.0,50,0.0
15,FR,5,25,10,default,,100000.0,50,0.1
16,FR,5,50,10,default,,100000.0,50,0.0
17,FR,10,25,10,default,,100000.0,50,0.0
18,FR,10,50,10,default,,100000.0,50,0.2
19,FR,10,250,10,default,,100000.0,50,0.1
20,HT,5,25,10,default,,100000.0,50,0.0
21,HT,5,50,10,default,,100000.0,50,0.0
22,HT,10,25,10,default,,100000.0,50,0.3
23,HT,10,50,10,default,,100000.0,50,0.5
24,HT,10,250,10,default,,100000.0,50,0.0
25,FullFH,5,25,10,default,,100000.0,50,0.2
26,FullFH,5,50,10,default,,100000.0,50,0.1
27,FullFH,10,25,10,default,,100000.0,50,0.4
28,FullFH,10,50,10,default,,100000.0,50,0.7
29,FullFH,10,250,10,default,,100000.0,50,0.1
