,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,100,default,,100000.0,500,1.0
1,FH,50,50,100,default,,100000.0,500,1.0
2,FH,50,250,100,default,,100000.0,500,1.0
3,FH,50,500,100,default,,100000.0,500,1.0
4,FH,50,1000,100,default,,100000.0,500,0.95
5,FH,50,1500,100,default,,100000.0,500,0.8
6,FH,100,25,100,default,,100000.0,500,1.0
7,FH,100,50,100,default,,100000.0,500,1.0
8,FH,100,250,100,default,,100000.0,500,1.0
9,FH,100,500,100,default,,100000.0,500,1.0
10,FH,100,1000,100,default,,100000.0,500,1.0
11,FH,100,1500,100,default,,100000.0,500,1.0
12,MMD,50,25,100,default,,100000.0,500,1.0
13,MMD,50,50,100,default,,100000.0,500,1.0
14,MMD,50,250,100,default,,100000.0,500,0.29
15,MMD,50,500,100,default,,100000.0,500,0.11
16,MMD,50,1000,100,default,,100000.0,500,0.04
17,MMD,50,1500,100,default,,100000.0,500,0.04
18,MMD,100,25,100,default,,100000.0,500,1.0
19,MMD,100,50,100,default,,100000.0,500,1.0
20,MMD,100,250,100,default,,100000.0,500,0.55
21,MMD,100,500,100,default,,100000.0,500,0.17
22,MMD,100,1000,100,default,,100000.0,500,0.07
23,MMD,100,1500,100,default,,100000.0,500,0.03
24,KNN,50,25,100,default,,100000.0,500,0.95
25,KNN,50,50,100,default,,100000.0,500,0.78
26,KNN,50,250,100,default,,100000.0,500,0.29
27,KNN,50,500,100,default,,100000.0,500,0.12
28,KNN,50,1000,100,default,,100000.0,500,0.07
29,KNN,50,1500,100,default,,100000.0,500,0.06
30,KNN,100,25,100,default,,100000.0,500,1.0
31,KNN,100,50,100,default,,100000.0,500,1.0
32,KNN,100,250,100,default,,100000.0,500,0.63
33,KNN,100,500,100,default,,100000.0,500,0.3
34,KNN,100,1000,100,default,,100000.0,500,0.18
35,KNN,100,1500,100,default,,100000.0,500,0.07
36,FR,50,25,100,default,,100000.0,500,0.96
37,FR,50,50,100,default,,100000.0,500,0.82
38,FR,50,250,100,default,,100000.0,500,0.25
39,FR,50,500,100,default,,100000.0,500,0.11
40,FR,50,1000,100,default,,100000.0,500,0.05
41,FR,50,1500,100,default,,100000.0,500,0.03
42,FR,100,25,100,default,,100000.0,500,1.0
43,FR,100,50,100,default,,100000.0,500,1.0
44,FR,100,250,100,default,,100000.0,500,0.64
45,FR,100,500,100,default,,100000.0,500,0.3
46,FR,100,1000,100,default,,100000.0,500,0.17
47,FR,100,1500,100,default,,100000.0,500,0.1
48,HT,50,25,100,default,,100000.0,500,1.0
49,HT,50,50,100,default,,100000.0,500,1.0
50,HT,50,250,100,default,,100000.0,500,0.79
51,HT,50,500,100,default,,100000.0,500,0.47
52,HT,50,1000,100,default,,100000.0,500,0.23
53,HT,50,1500,100,default,,100000.0,500,0.09
54,HT,100,25,100,default,,100000.0,500,1.0
55,HT,100,50,100,default,,100000.0,500,1.0
56,HT,100,250,100,default,,100000.0,500,0.99
57,HT,100,500,100,default,,100000.0,500,0.78
58,HT,100,1000,100,default,,100000.0,500,0.35
59,HT,100,1500,100,default,,100000.0,500,0.28
